"","Date Of Sale","Address","Postal Code","County","Price","Not Full Market Price","VAT Exclusive","Description Of Property","Property Size Description"
"5","02/01/2019","31 ALL SAINTS PARK, RAHENY, DUBLIN 5","Dublin 5","Dublin",460000,"No","No","Second-Hand Dwelling house /Apartment",NA
"6","02/01/2019","40 THE COURTYARD, CLONSILLA, DUBLIN 15","Dublin 15","Dublin",221500,"No","No","Second-Hand Dwelling house /Apartment",NA
"7","02/01/2019","407 CASEMENT RD, FINGLAS WEST, DUBLIN 11","Dublin 11","Dublin",265000,"No","No","Second-Hand Dwelling house /Apartment",NA
"14","03/01/2019","23 ASHFORD ST, DUBLIN 7, DUBLIN","Dublin 7","Dublin",283000,"No","No","Second-Hand Dwelling house /Apartment",NA
"15","03/01/2019","23 LATCHFORD GREEN, CASTAHEANY, DUBLIN 15","Dublin 15","Dublin",285000,"No","No","Second-Hand Dwelling house /Apartment",NA
"18","03/01/2019","36 GEORGIAN HAMLET, BALDOYLE, DUBLIN 13","Dublin 13","Dublin",340000,"No","No","Second-Hand Dwelling house /Apartment",NA
"22","03/01/2019","62 SOUTHGATE APTS, CORK ST, DUBLIN 8","Dublin 8","Dublin",225000,"No","No","Second-Hand Dwelling house /Apartment",NA
"23","03/01/2019","69 CARLINGFORD RD, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin",470000,"No","No","Second-Hand Dwelling house /Apartment",NA
"25","04/01/2019","1 THE BRIDGE, MAIN ST, SHANKILL DUBLIN 18","Dublin 18","Dublin",285000,"No","No","Second-Hand Dwelling house /Apartment",NA
"27","04/01/2019","125 GLASNEVIN AVE, DUBLIN 11, DUBLIN","Dublin 11","Dublin",425000,"No","No","Second-Hand Dwelling house /Apartment",NA
"28","04/01/2019","13 INGLEWOOD CLOSE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin",2e+05,"No","No","Second-Hand Dwelling house /Apartment",NA
"31","04/01/2019","15 GLENAMUCK COTTAGES, CARRICKMINES, DUBLIN 18","Dublin 18","Dublin",440000,"No","No","Second-Hand Dwelling house /Apartment",NA
"32","04/01/2019","169 CROSBIES YARD, OSSORY RD, EAST WALL DUBLIN 3","Dublin 3","Dublin",302000,"No","No","Second-Hand Dwelling house /Apartment",NA
"35","04/01/2019","18 BROWNSBARN ORCHARD, KINGSWOOD CROSS, CITYWEST DUBLIN 22","Dublin 22","Dublin",310000,"No","No","Second-Hand Dwelling house /Apartment",NA
"42","04/01/2019","36 WILLOW COURT, CLONDALKIN, DUBLIN","Dublin 22","Dublin",290000,"No","No","Second-Hand Dwelling house /Apartment",NA
"43","04/01/2019","36, 109 PARNELL ST, DUBLIN 1","Dublin 1","Dublin",215000,"No","No","Second-Hand Dwelling house /Apartment",NA
"44","04/01/2019","39 LAMBOURN AVE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin",365000,"No","No","Second-Hand Dwelling house /Apartment",NA
"45","04/01/2019","39 WOOD DALE CRESCENT, BALLYCULLEN, DUBLIN 24","Dublin 24","Dublin",445000,"No","No","Second-Hand Dwelling house /Apartment",NA
"47","04/01/2019","5 BARNWELL CLOSE, ONGAR, DUBLIN 15","Dublin 15","Dublin",320000,"No","No","Second-Hand Dwelling house /Apartment",NA
"48","04/01/2019","51 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15","Dublin 15","Dublin",216000,"No","No","Second-Hand Dwelling house /Apartment",NA
"49","04/01/2019","56 THE GROVE, HUNTERS RUN, CLONEE DUBLIN 15","Dublin 15","Dublin",377500,"No","No","Second-Hand Dwelling house /Apartment",NA
"50","04/01/2019","7 LATCHFORD GREEN, CASTAHEANEY, DUBLIN 15","Dublin 15","Dublin",308000,"No","No","Second-Hand Dwelling house /Apartment",NA
"51","04/01/2019","7 RIVERSDALE RD, CLONDALKIN DUBLIN 22, DUBLIN","Dublin 22","Dublin",270000,"No","No","Second-Hand Dwelling house /Apartment",NA
"52","04/01/2019","74 FITZWILLIAM POINT, FITZWILLIAM QUAY, RINGSEND DUBLIN 4","Dublin 4","Dublin",351000,"No","No","Second-Hand Dwelling house /Apartment",NA
"53","04/01/2019","9 ANNADALE AVE, FAIRVIEW, DUBLIN 3","Dublin 3","Dublin",330000,"No","No","Second-Hand Dwelling house /Apartment",NA
"55","06/01/2019","2 CARRIGMORE OAK, CITYWEST, SAGGART","Dublin 24","Dublin",310000,"No","No","Second-Hand Dwelling house /Apartment",NA
"57","07/01/2019","103 MARLAY VIEW, BALLINTEER AVE, DUBLIN 16","Dublin 16","Dublin",340000,"No","No","Second-Hand Dwelling house /Apartment",NA
"58","07/01/2019","12 HERBERT COTTAGES, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin",463500,"No","No","Second-Hand Dwelling house /Apartment",NA
"60","07/01/2019","146 MERIDIAN COURT, ROYAL CANAL PARK, RATOATH RD DUBLIN 15","Dublin 7","Dublin",325000,"No","No","Second-Hand Dwelling house /Apartment",NA
"65","07/01/2019","23 THE KILNS, STATION RD, PORTMARNOCK","Dublin 13","Dublin",243000,"No","No","Second-Hand Dwelling house /Apartment",NA
